date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:26	9444/9444	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2224e4-62309f0dda7c0%22	https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-en.svg	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-en.svg	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/1/1b/Sorting_heapsort_anim.gif	C:/My%20Web%20Sites/Wiki/upload.wikimedia.org/wikipedia/commons/1/1b/Sorting_heapsort_anim.e.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:26	4115/4115	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2027%20Nov%202024%2018:03:58%20GMT	https://wikimedia.org/api/rest_v1/media/math/render/svg/9d2320768fb54880ca4356e61f60eb02a3f9d9f1	C:/My%20Web%20Sites/Wiki/wikimedia.org/api/rest_v1/media/math/render/svg/9d2320768fb54880ca4356e61f60eb02a3f9d9f1.svg	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:27	2239/2239	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2027%20Nov%202024%2016:49:42%20GMT	https://wikimedia.org/api/rest_v1/media/math/render/svg/34109fe397fdcff370079185bfdb65826cb5565a	C:/My%20Web%20Sites/Wiki/wikimedia.org/api/rest_v1/media/math/render/svg/34109fe397fdcff370079185bfdb65826cb5565a.svg	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:27	1935/1935	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Nov%202024%2007:40:21%20GMT	https://wikimedia.org/api/rest_v1/media/math/render/svg/e66384bc40452c5452f33563fe0e27e803b0cc21	C:/My%20Web%20Sites/Wiki/wikimedia.org/api/rest_v1/media/math/render/svg/e66384bc40452c5452f33563fe0e27e803b0cc21.svg	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Binary_heap_bottomup_vs_topdown.svg/220px-Binary_heap_bottomup_vs_topdown.svg.png	C:/My%20Web%20Sites/Wiki/upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Binary_heap_bottomup_vs_topdown.svg/220px-Binary_heap_bottomup_vs_topdown.svg.12.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Nov%202024%2019:18:04%20GMT	https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1154941027	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1154941027.13.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/4/4d/Heapsort-example.gif	C:/My%20Web%20Sites/Wiki/upload.wikimedia.org/wikipedia/commons/4/4d/Heapsort-example.14.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Nov%202024%2019:18:20%20GMT	https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.15.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.16.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.17.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.18.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.19.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.1a.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.1b.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.1c.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.1d.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.1e.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.1f.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.20.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.21.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.22.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.23.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.24.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.25.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.26.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.27.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.28.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.29.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.2a.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.2b.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.2c.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.2d.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.2e.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.2f.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.30.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.31.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.32.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.33.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.34.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.35.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.36.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.37.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.38.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:28	0/-1	---M--	301	error ('')			https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1238218222	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1238218222.39.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/40px-Wikibooks-logo-en-noslogan.svg.png	C:/My%20Web%20Sites/Wiki/upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/40px-Wikibooks-logo-en-noslogan.svg.3a.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Nov%202024%2019:18:44%20GMT	https://en.wikipedia.org/wiki/mw-data:TemplateStyles:r1129693374	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/mw-data_TemplateStyles_r1129693374.3b.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:29	68/68	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Nov%202024%2019:14:58%20GMT	https://login.wikimedia.org/wiki/Special:CentralAutoLogin/start?type=1x1	C:/My%20Web%20Sites/Wiki/login.wikimedia.org/wiki/Special_CentralAutoLogin/starte375.png	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:30	3256/3256	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22cb8-62309f0dda7c0%22	https://en.wikipedia.org/static/images/footer/wikimedia-button.svg	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/static/images/footer/wikimedia-button.svg	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:30	14576/14576	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Nov%202024%2010:46:32%20GMT	https://en.wikipedia.org/w/resources/assets/poweredby_mediawiki.svg	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/resources/assets/poweredby_mediawiki.svg	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/robots.txt		(from https://en.wikipedia.org/wiki/Heapsort)
20:26:31	130/130	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Nov%202024%2019:26:14%20GMT	https://creativecommons.org/robots.txt		(from https://en.wikipedia.org/wiki/Heapsort)
20:26:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://meta.wikimedia.org/robots.txt		(from https://en.wikipedia.org/wiki/Heapsort)
20:26:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://login.wikimedia.org/robots.txt		(from https://en.wikipedia.org/wiki/Heapsort)
20:26:32	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Nov%202024%2015:58:32%20GMT	https://wikimedia.org/robots.txt		(from https://en.wikipedia.org/wiki/Heapsort)
20:26:33	3685/3685	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20Sep%202024%2018:31:03%20GMT	https://login.wikimedia.org/robots.txt		(from https://en.wikipedia.org/wiki/Heapsort)
